Alinhamento - Soluções Técnicas 
ter., 3 de set. de 2024

0:54 - Jaguaraci Batista Silva Obrigado.

2:06 - Jaguaraci Batista Silva Obrigada.

2:43 - Jaguaraci Batista Silva Oi, Jaguar, tudo bem?

2:45 - Priscila Lourenço Molina Oi, bom dia, tudo bem? Muito certo.

2:49 - Jaguaraci Batista Silva Vamos passar as atividades, o Jaguar vai passando aí comigo.

2:55 - Priscila Lourenço Molina Eu vou compartilhar aqui a tela com você.

2:59 - Jaguaraci Batista Silva Oi? Desculpa, não vi.

3:01 - Priscila Lourenço Molina Eu vou compartilhar aqui a tela com você.

3:05 - Jaguaraci Batista Silva A gente estava falando na última reunião lá de sua 27 preocupação em relação à saída do Alex. Isso aí. E a gente falou também sobre a questão do apoio à migração ali para o Rio de Janeiro. Então, assim, não houve muito avanço, tá? Ficou ali a responsabilidade do Morgado ver um time para fazer inventário das bases e isso não avançou, pelo que eu vi ali com a Elaine e a Juliana.

3:38 - Jaguaraci Batista Silva Eu até comentei ali com o Ramiro se precisasse de apoio com scripts ali, que eu conheço bem, assim, Transact SKL, e eu poderia apoiar com os scripts. Também falei com a Elane sobre acesso. Eu testei alguns scripts ali, mas eu não consegui acesso. Então precisa realmente ver como é orgado ali. Mas por que você não conseguiu acesso do Jaguar?

4:06 - Priscila Lourenço Molina É porque precisa da máquina Bradesco? Não, o acesso é de um usuário mesmo.

4:13 - Jaguaraci Batista Silva Esse usuário é bem restrito. Parece que quem trabalha com essa gestão de usuários é o Victor, segundo a Elaine. Mas aí eu entendo que os engenheiros de dados geralmente estão ali constantes. Eles têm condições de executar um script de inventário muito rápido. Se tiver alguma dificuldade é só pedir apoio ou ajuda na construção do script. Falta essa parte ali.

