fala,comportamento
"Priscila Lourenço Molina Desculpa o meu atraso, Jaguar, sempre enrolada aqui. Estava escrevendo esse e-mail que eu acabei de te encaminhar, formalizando as as pessoas que estão saindo, que estão indo. No que é essa agenda, Jaguar? Mais pra gente se alinhar em relação aos pontos mesmo que você tá tocando. Teve coisas que você me mandou e eu não tive tempo de olhar ou eu não entendi. Então eu queria um update aí do que que tá rolando, que dificuldades você tá tendo. Um resuminho aí de como tá tendo sua semana e como que eu posso te ajudar. Tá bom.",desvalorização
"Jaguaraci Batista Silva Tem essa parte da migração primes, né, que você até tirou dúvidas sobre a planilha do Alexandre. Isso! O que que deu esse ponto? Eu peguei a planilha do Alexandre, criei uma coluna ali para tratados de homens de idade que seriam consumidos ali pelo atacado. Essa demanda foi direcionada ali pelo Ramiro, né? E aí tem uma thread ali, já uma agenda que eu estou atualizando. Na verdade foi direcionado ali para o time do Morgado, né? Junto a Elano. É, a Elane que ia fazer isso ou a Ju, né?",vida_privada
"Jaguaraci Batista Silva É que o Morgado, ele que é o líder ali da Squad, então ele relutou ali em liberá-las por conta das demandas que estavam vindo. E como eu vi que eram algumas informações que eu já tinha visto no Confluence, o mapeamento que foi iniciado, outro pedaço ali que tinha informação. Eu já trabalhei com essa página descoberta para migração para a nuvem, então eu fiz um planejamento meu, mas eu acredito que o Ramiro deve ter um planejamento.",desvalorização
"Jaguaraci Batista Silva No ponto de vista das experiências que eu tenho, fiz um planejamento, peguei catálogos de API, catálogos de jogos que estão ativos, que estão em desenvolvimento. Tudo isso está no Confluence. Não tive trabalho a pegar nada disso, só organizei as informações e passei por ele. Agora, do ponto de vista de tabelas mesmo, Mas eu tenho um script ali no sql server para você fazer inventário das tabelas. Eu já trabalhei com o sql server, fazia muito isso quando era DBA e quando fazia otimização também. Mas eu não tenho acesso ao sql server, eu não trabalho na espécie de dados, então o meu nível é só de arquitetura. Entre arquitetura de negócio para arquitetura de solução junto com a Agnes. Então, acho que ali a Elane deve atuar junto ao Morgado, porque são as atividades que eles fazem, de trabalhar com SQL Server, fazer as consultas e atualizar o painel de controle. É esse ponto que eu queria te avisar, por isso eu te mandei aquelas mensagens ali para a Chalé Retampa, que vai ter essa cobrança essa semana, tá? O Ramiro, ele tem uma agenda, acho que é sexta-feira, e a gente já está na pista. Precisa ver dificuldades ali. Não é por conta dessa atividade em si, né, de rodar um script de um e tal, porque isso é fácil, mas eu vejo que as demandas que a Elane já tem ali junto ao Morgado, para alinhar essas demandas e ter tempo para fazer isso. E aí, no caso, se ela tiver alguma dificuldade, pode me chamar, que a gente vê esse escrito, a gente monta e ela executa no escritório. É mais isso que eu queria te alertar. Entendi. Faz sentido, Jaguar. Acho que é isso mesmo.",delegação_inadequada
"Priscila Lourenço Molina Você ajudou ali na parte de mapeamento, mas agora acho que é com ela mesmo, ali junto com o time, e fechar esse assunto de uma vez por todas.",delegação_inadequada
"Priscila Lourenço Molina A gente vai ter, com essa saída da Vanzelli e do Alex, que ambos estão saindo.",vida_privada
"Priscila Lourenço Molina Mas eu encaminhei agora, acho que nem deu tempo de você ler ainda. Depois você lê. O Alex e a Vanzelle são as duas pessoas de dados que estão saindo e dando lugar para duas novas pessoas, o Danilo e o João, que foram as pessoas que vocês entrevistaram, né, Javar, que você já tá por dentro aí da proficiência deles. Eles virão início de setembro, a gente vai ter uma semana de KT, tanto da parte do Alex quanto da parte da Ju, a gente vai ter uma semana de KT, e depois eles vão se desconectar. Eu também queria que você acompanhasse esse assunto, não só por conta do onboarding deles, que vai acontecer descasado, mas também como que o banco, o Morgado mesmo, o Ramiro, como que eles estão se organizando para esse KT acontecer. Esse KT vai acontecer. Vai mencionar outras coisas, principalmente falando do Alex, tá? O Alex tem, a Ju, que é a, eu acho que, talvez seja um pouco mais tranquilo, mas o Alex, ele tem coisas, assim, que estão bem centralizadas nele ali, acho que é de rar, se eu não tô enganada. Então, assim, Como que o banco vai se organizar para isso? Eles vão colocar isso na mão de outra pessoa do time ou a gente vai já internalizar esse assunto com o time do Ramiro mesmo, o time interno do banco? Eu acho que esse ponto, Jaguar, vale a pena ali, no e-mail eu coloquei tão simples quanto planejar o KT até essa data Mas o que eu tô querendo dizer com isso é o seguinte, gente, não tem chororô. A pessoa vai embora, tá ali a data, tá com antecedência pra todo mundo se planejar. Eu não quero que chegue na semana, ali na última semana e falar assim, ah, eu precisava dele aqui mais duas semanas, ou ah, deu uma zica aqui no RAR, eu vou precisar chamar o Alex. Não, não vai precisar chamar o Alex, ele vai pra fora do banco. Ele não vai mais ficar dentro do Bradesco, ele vai pra fora do banco. Então eu queria que você, Jaguar, acompanhasse esse assunto de perto. Não é prerrogativa nossa fazer isso, afinal de contas o Morgado é a liderança da Squad, a gente tem ali o Ramiro como vessouro responsável, mas é importante a gente garantir que isso está acontecendo, ou pelo menos puxar o ponto para fazerem isso acontecer, entendeu?",desvalorização
"Jaguaraci Batista Silva Além dessa parte ali da migração ali do UmPrivate e do Razer, tem duas coisas também que estão...",desvalorização
"Jaguaraci Batista Silva A integração do painel com o mercado-alvo, que eu faço ali de casting, eu até fiz desenho de arquitetura para ajudar o pessoal para descoberta, eles já estavam finalizando o protótipo. Mas isso não andou, tá? A Thalani cobrou também, mas não andou. Acredito que o desenho da arquitetura está bem completo, tem todas as etapas da solução ali bem definidas e o desenho está muito bom. Não estou falando isso porque eu fiz, não. Dentro daquilo que foi conversado. Eu entendo quando eu faço um bom desenho, quando eu faço um péssimo desenho, quando não tenho muita informação. Mas daquela conversa que eu participei, eu consegui extrair muita informação. Inclusive, eu passei para a Elano e toda a informação foi extraída. Então, faltou mesmo a direção do banco mesmo para eu testar o ambiente, se os servidores as CADs estão realmente linkados, se não estão, porque não estão, quem vai fazer, quem vai ser responsável por isso, mas a solução para fazer a consulta, como deveria fazer, as tecnologias que deveriam usar já estão no desenho. Então, do ponto de vista de solução, o desenho, eu considero ele as 90 opções. Acho que 10% menos, 11 pages mesmo, porta, definir tudo isso. O banco precisa definir. Só que isso não tá caminhando, tá, Priscila? Eu coloquei pro desenho, a Elaine tá cobrando, mas a gente já vai aí pra uma semana sem nenhuma resposta, sem nenhuma interação. Quem deveria ser a pessoa?",desvalorização
"Jaguaraci Batista Silva Ah, esse é o meu grupo. Entendi. Eu queria colocar você nessas iniciativas, acho que tem muita coisa pra você ficar olhando. Tudo isso que eu tô te falando tá no Teens. Então eu tiro o print e te encaminho pelo Teens ali do Bradesco e você vai acompanhando. Mas isso me preocupa porque Porque já tem muito tempo, né? Então, exatamente uma semana que ninguém respondeu. E o André, ele fica sempre preocupado acompanhando ali as iniciativas. E ele perguntou sobre essa iniciativa de integração ali com o Painel e o Mercado Álvao, né, pra creche. Aí tem que ver com o André, que é o pior responsável, porque já não é da vila atacada, né, do creche.",desvalorização
