Recorrência técnica para apoio (Dados e Indicadores) 
Mon, 2 Sept 2024

4:06 - Unidentified Speaker Boa tarde, tudo bom?

4:09 - Cassius Ribeiro Bom dia. Tudo bem?

4:12 - Jaguaraci Batista Silva Tudo bom. E com você?

4:14 - Cassius Ribeiro Tudo bem, tudo bem. Tá bom, meu cara. Hoje tá chegando o Danilo, né?

4:25 - Cassius Ribeiro Isso. As meninas vão poder entrar?

4:30 - Jaguaraci Batista Silva Eu vi que a Ju confirmou.

4:32 - Cassius Ribeiro Vamos dar uma olhadinha daqui.

4:37 - Jaguaraci Batista Silva Eu mudei a agenda por conta da sugestão de horário dela, para ver o que ela poderia falar, porque a anterior ela não pôde. Deixa eu ver aqui.

5:00 - Cassius Ribeiro Deve estar entrando aqui.

5:26 - Jaguaraci Batista Silva Oi, Leandro, tudo bem? Oi, gente, bom dia, tudo bom? Olá, bom dia!

5:30 - Cassius Ribeiro Desculpa o atraso, Ícaro, me perdi um negócio aqui do Flow, eu me empolguei, falar com você, que no drive a gente não tava sabendo. Ponto Álfaro, eu sei que dados tá usando, com algumas coisas ali, é mais específico. A novidade agora aqui é Code Review, Cássio.

5:59 - Elaine Gonzaga Ganança Ah, legal, hein? Ah, a Júlia passou ali na agenda, né? Tinha ali um negócio de Code Review, a gente tá fortalecendo, ainda tá tímido, tamo usando só eu e a Júlia, mas a gente tá Tá indo, né? Tá indo, né? Mas tem evoluído, né?

6:22 - Cassius Ribeiro A gente já tá quebrando história, escrevendo, contando a fé. Parece que já tá uma boa parte do fluxo, né? Cara, eu acho que assim, o flow é o mindset aqui, né?

6:35 - Jaguaraci Batista Silva Que a gente tem que... Tipo, a gente esquece às vezes dele, né?

6:40 - Elaine Gonzaga Ganança Eu abri minha cabeça aqui pra bolar um texto de e-mail e falo, meu, põe lá no Flow que ele faz pra nós. Ele vai ajudar, né? A gente esquece dele, a gente quer incorporar no dia a dia.

6:53 - Elaine Gonzaga Ganança Vamos lá.

