Alinhamento de atividades 
Thu, 15 Aug 2024

0:34 - Unidentified Speaker Hoje agora. Bom dia. Oi, tudo bem?

0:38 - Priscila Lourenço Molina Oi, Priscila Bandilha, tudo bem? Tudo bem também. Desculpa meu atraso, tá? É que eu tava aqui respondendo o chat e acabei me perdendo na hora. Ah, tranquilo.

0:49 - Jaguaraci Batista Silva Acho que a pessoa mais importante aqui dessa agenda é a Agnes, né? Vê se ela aparece aí, porque a gente já conversou, né? É, eu não sei se ela vai conseguir entrar no Meet, tá?

0:59 - Priscila Lourenço Molina Hoje eu aguardo.

1:02 - Priscila Lourenço Molina normalmente eles têm bloqueado a URL do Meet lá. A gente só consegue falar com eles quando a gente agenda pelo AVD. Você está com acesso ao AVD, né?

1:12 - Jaguaraci Batista Silva Não, ela está com problemas para acessar hoje. Ah, hoje está com problemas.

1:17 - Priscila Lourenço Molina No AVD, deixa eu te mostrar.

1:20 - Jaguaraci Batista Silva Eu até já trabalhei com VDI e AVD. Não tem problema nenhum. Estava acessando ontem também. Entendi. Hoje eu não consegui acessar mesmo.

1:31 - Priscila Lourenço Molina Sempre que eu vou fazer reunião com eles, eu não sei sincronizar as agendas de lá e de cá, tá? Até se você conseguir saber, você me ensina. Eu não sei sincronizar. Então, sempre que eu vou falar com eles, eu marco uma agenda aqui, na agenda do Teams aqui mesmo, e aí eu pego essa agenda e jogo, aí eu faço assim, ó, do jeito que eu fiz aqui, ó. Eu pego essa agenda e boto ela aqui, ó. Agenda do Teams, o André, tá vendo? Aí eu ponho pra ninguém marcar no lugar, porque aí senão eu tenho uma reunião no lugar, entendeu o que eu faço? Eu faço sempre assim. Eu consigo já fazer uma sincronização.

2:09 - Jaguaraci Batista Silva Ah, então você me ensina a sincronizar as agendas.

2:12 - Priscila Lourenço Molina Como que sincroniza? É que você tá sem acesso, né?

2:17 - Jaguaraci Batista Silva Eu não consigo acessar a VD, ela tá com problema mesmo. Acho que é um problema de rede mesmo.

2:26 - Jaguaraci Batista Silva Mas você quando loga no...

2:30 - Jaguaraci Batista Silva Quando você loga fora da AVD, na própria rede mesmo, na VPN, você tem uma opção ali no... Deixa eu pegar o atalho correto aqui. Naqueles atalhos ali do Workspace do Google. Do Workspace do Google?

2:47 - Priscila Lourenço Molina Esses aqui? Esses pontinhos ali do Workspace.

2:54 - Jaguaraci Batista Silva Ah, esse aqui?

2:57 - Priscila Lourenço Molina Esse aqui? Isso, isso aí.

3:00 - Jaguaraci Batista Silva Lá embaixo tem uma... Eles disponibilizam ali a integração com o Teams. Tem um negócio aqui?

3:10 - Priscila Lourenço Molina Vamos ver. Eu acho que você já passou.

3:13 - Jaguaraci Batista Silva Tem uma logomarca ali do Teams.

