Roadmap de arquitetura 
Fri, 2 Aug 2024

0:00 - Elton de Oliveira Ramalho Tudo bem.

0:00 - Jaguaraci Batista Silva Muito legal. Você deve estar em ritmo de férias.

0:03 - Elton de Oliveira Ramalho Férias nada.

0:07 - Jaguaraci Batista Silva Outro projeto trata de quê?

0:11 - Elton de Oliveira Ramalho Eu não sei ainda. Não fizeram a... Vou fazer um hoje, né? Segundo, eu acho.

0:16 - Jaguaraci Batista Silva Eu acho que vai ser o projeto que eu iria entrar. Eu tenho uma ideia. Outro projeto é uma visão de construção de microserviços e API.

0:29 - Jaguaraci Batista Silva Por isso que eu tava conversando com o Clarindo antes de vir pra cá. Acho que linguagem é Java. Tudo no Azure mesmo, com Bermudes, Docker. É que eu não sei da sua familiaridade. Pra mim, era muito tranquilo. Porque eu já tava trabalhando com eles. Pra mim é tranquilo também. É isso aí. Mas o que você precisar... Eu não sei se eles vão usar o PaintShift. Trabalhei com OpenShift durante dois anos, cresci também bastante. Mas tudo que você precisar também, tranquilo, é só te chamar.

1:08 - Elton de Oliveira Ramalho Cara, agradeço. Eu vou pingar sim, mano. Nunca trabalhei com OpenShift, mas é OpenShift mesmo lá no Bradesco. OpenShift com... É Azure ou OpenShift?

1:20 - Unidentified Speaker Azure.

1:28 - Elton de Oliveira Ramalho Red Hat OpenShift é isso.

1:32 - Jaguaraci Batista Silva Eu vou compartilhar uma tela aqui com você. Quando a Priscila chegar, é mais do ponto de vista dela, para entender a expectativa dela. Mas aqui com você eu tentei fazer um planejamento do que seria o roadmap de acordo com o roadmap dela. Oi Priscila, tudo bem?

1:57 - Priscila Lourenço Molina Oi, gente, tudo bem?

2:01 - Jaguaraci Batista Silva Tudo bom? Tudo bem. Gente, eu comecei a mostrar a tela aqui. O que eu fiz? Eu já participei de algumas descobertas, então eu tenho uma ideia de um modelo, mas acredito que algumas coisas aqui a Agnes vai fazer, principalmente o desenho de arquitetura e tudo que for derivado disso. Por assim como ela também me pediu ajuda nessa questão de arquitetura corporativa, eu queria ver se no nosso contrato a gente faz isso também, ou se é um apoio que é tranquilo para dar para ela, porque eu sei que é uma área que eu também domino, então não há problema nenhum de ajudar, da maioria do nosso contrato ali. E demais de entender a sua expectativa, porque pela quantidade de coisas, porque realmente tem muita coisa a ser descoberta, Tem muito gap de documentos e de atualizações. Mas é uma coisa que eu já estou acostumado a fazer. Não há nenhum desequilíbrio emocional ou desespero. É muito tranquilo, dá para ver o controle. Inclusive tem já mapeado o domínio de dados, só para verificar com o pessoal se esse domínio de dados realmente está batendo já trabalho com os bancos ali, já tenho uma ideia do mapa de capacidade, até para a gente pensar ali nas migrações ali para o Waze e para o Databricks, ver com o pessoal realmente essas medidas ali para a gente fazer uma análise de benchmark, mapa de rede também já comecei a fazer, mapa de temperatura, está muito assim alto nível por causa das tecnologias, ainda vou entrar ali nas estrelas.

3:53 - Jaguaraci Batista Silva Então você fica tranquilo, tá? Tá bem sob controle, embora tenha só um período curto ali, três dias, bater no palco com ela. E aí é mais o alinhamento das expectativas. Eu vi que você tem um roadmap ali com algumas questões de arquitetura, alguns temas ali de funcionalidades que vão entrar no seu esforço.

4:17 - Jaguaraci Batista Silva Será mais ou menos isso aqui. O que você espera? Esse roadmap enquanto a gente tá fazendo a descoberta.

