Recorrência técnica para apoio (Dados e Indicadores) 
Tue, 27 Aug 2024

0:00 - Unidentified Speaker Olá, Jaguar. Bom dia.

0:00 - Cassius Ribeiro Tudo joia com você? Tudo ótimo, cara.

0:01 - Jaguaraci Batista Silva Tudo bom, meu caro?

0:05 - Cassius Ribeiro Tudo, Ju. Tudo bem?

0:06 - Jaguaraci Batista Silva Bom dia, tudo. Bom dia, Ju. Bom dia. Eu não vou abrir a câmera porque tá fazendo muito frio aqui e eu tô de pijama, cara. Essa é um mico. Tá friaca mesmo, cara. Tá muito frio.

0:20 - Cassius Ribeiro Aqui a mínima é seis, né? E a máxima é quinze.

0:23 - Jaguaraci Batista Silva Ai, meu Deus.

0:28 - Juliana Paniago Lopes Mollo Eu sou de Salvador, então eu morro de frio.

0:32 - Juliana Paniago Lopes Mollo Quanto tempo você tá pra cá?

0:35 - Jaguaraci Batista Silva Ah, eu moro aqui há 15 anos, mas como é que a gente acostuma? Não acostumou ainda? Não, minha filha tem 5 anos, ela nem liga. Se a gente não agasalhar ela... Mas eu não acostumo com esse frio, não.

0:51 - Cassius Ribeiro Eu tô perto de São José hoje agora, só que é mais pra dentro ainda, hein? Entra por meio das montanhas aí, passa Campos do Jordão, que aí cê chega aqui onde eu moro, cara. Mais frio ainda, mas tô mais acostumado a nascer daqui, né? É, quem nasce no frio já tá acostumado com o frio.

1:08 - Jaguaraci Batista Silva Mas e aí, como é que tão as coisas, hein? Pegando fogo!

1:13 - Juliana Paniago Lopes Mollo Ah, como sempre, né? A gente tá com um problema em produção do Mercado Alvo, aí tá, aí a Elaine foi chamada, né? Então tá pegando isso em produção agora, nesse momento. E o Mercado Alvo, ele é o principal com algumas cargas, né? Então começa a impactar outras análises, né? Então a gente tem que ter um foco rápido nisso. E o Jorge, que é o cara do Mercado Alto, está ausente, né, Ju?

1:48 - Cassius Ribeiro Exatamente.

1:51 - Juliana Paniago Lopes Mollo Exatamente, Cassius. A gente está tentando tirar o Jorge e tentar passar para uma outra pessoa, pegar esse conhecimento também, mas como o Ramiro puxa demais ele, a gente não consegue colocar uma outra pessoa ali. E a gente está ficando sem braço, assim, porque estão caindo muitas coisas com alta prioridade. E a gente não tá conseguindo trazer o Jorge pra projeto, colocar uma outra pessoa pra ele dar suporte, sabe? Então a gente...

2:22 - Cassius Ribeiro Acho que esse é um ponto importante, assim, de histórico, né, a gente já fez isso algumas vezes, já foi o... Era o Coutinho, que era esse cara, na verdade era o Alex, né, que era o... Não, o Alex era do Rá, tô misturando. Era o Coutinho, Aí a gente passou para o Thales e depois para o Jorge, tá? Então, eu acho que o Thales é o que tem um pouco mais de conhecimento dentro do time que talvez possa apoiar, tá? Isso.

2:45 - Juliana Paniago Lopes Mollo O Thales é a nossa biblioteca aqui no time. Então, o Thales é muito acionado por mim, pela Elaine, pelo pessoal do time, porque ele é o que mais tem conhecimento aqui.

2:58 - Cassius Ribeiro E acho que talvez esse é um ponto para a gente trabalhar, tentar, sei lá, documentar ou puxar mais pessoas ainda.

3:06 - Juliana Paniago Lopes Mollo Sim, a gente agora, Cássia, está tentando bem, a gente está sendo bem forte na parte de documentação, né? Então, a gente tem uma tarefa hoje de criação de documento, antes era meia hora, aí eu falei assim, olha gente, meia hora não se documenta. Então a gente tá pedindo até pra revisar o documento, outra pessoa, ver se entende A gente tá colocando mais detalhes, regras de negócio, vincula quais são os projetos Tá bem legal agora a nossa documentação que tá nascendo, né? Mas o que é passado, né?

3:35 - Jaguaraci Batista Silva A gente ainda não tem muita coisa documentada, não E essa saída da Juliana e do Alet vai pra Itacomo E a gente sabe, né, Cass, que vem o Danilo e o João pra ficar no lugar deles Mas eu tava conversando com a Priscila agora, também recebi um e-mail, como vocês, desse KQ. Quem que tá responsável por esse KQ? E se esse tempo é suficiente, pelo que eu vi, a Juliana vai ser de 2 a 6, e o Alex de 9 13, máximo. Será que vai dar tempo de passar? E a importância deles pra...

4:17 - Jaguaraci Batista Silva Pesa de unidades, não é? Dez créditos por unidade, não é isso, Cássio? Dez créditos por unidade.

4:23 - Cassius Ribeiro Eu acho que tem que ser a própria pessoa, tá, Jaguar? Eu acho que talvez, como o tempo tá apertado, aí de repente a Ju pode ajudar também a gente, é pedir pra eles ir preparando um documento de KT, que aí pelo menos deixa os links, deixa tudo que tem ali e aí valida com a pessoa que tá chegando e, na pior das hipóteses, tem aonde recorrer, sabe? Eu acho que é o melhor caminho aqui. Sim, sim.

4:52 - Juliana Paniago Lopes Mollo A Juvanzelli, ela não é minha grande preocupação, porque como ela voltou de agora de licença maternidade, então ela está se encaixando na nossa rotina, sabe? Então, ela saindo e não fazendo KT, a gente tem o Jorge, que é o outro pilar ali de sustentação, né? Mas ela é o nosso pilar de QA, de teste. Então vão estar aí todos os cenários de teste. E aí até a pessoa saber onde pode testar, onde tem acesso. Então isso vai ser um pouco complicado ali no time na primeira sprint, porque a gente vai ter que fazer teste cruzado entre os devs. Até a pessoa ter acesso, conhecer os ambientes, o negócio. Então vai ter esse...

